code,stock_name,pubDate,statDate,currentRatio,quickRatio,cashRatio,YOYLiability,liabilityToAsset,assetToEquity
sz.301028,东亚机械,2023-10-24,2023-09-30,2.526221,2.204995,1.756214,0.326222,0.288252,1.404992
sz.301029,怡合达,2023-10-30,2023-09-30,4.411519,3.494814,1.626556,-0.052376,0.172392,1.208301
sz.301030,仕净科技,2023-10-30,2023-09-30,1.427971,1.077369,0.245582,1.286989,0.733346,3.750176
sz.301031,中熔电气,2023-10-23,2023-09-30,1.810610,1.464569,0.290670,0.498725,0.405941,1.683335
sz.301032,新柴股份,2023-10-28,2023-09-30,1.332110,1.056763,0.388515,0.251274,0.606270,2.539814
sz.301033,迈普医学,2023-10-28,2023-09-30,4.259874,3.760166,3.483366,-0.177489,0.187231,1.230361
sz.301035,润丰股份,2023-10-28,2023-09-30,1.541393,1.140455,0.476740,-0.019844,0.524394,2.102581
sz.301036,双乐股份,2023-10-25,2023-09-30,2.009526,1.290327,0.136902,-0.133983,0.175931,1.213491
sz.301037,保立佳,2023-10-28,2023-09-30,1.040463,0.917520,0.128369,-0.117270,0.655510,2.902841
sz.301038,深水规院,2023-10-28,2023-09-30,1.537071,1.537071,0.491961,0.113318,0.520746,2.086574
sz.301039,中集车辆,2023-10-26,2023-09-30,2.065264,1.433542,0.694161,-0.066087,0.370052,1.587433
sz.301040,中环海陆,2023-10-25,2023-09-30,3.278594,2.741835,1.053751,-0.272908,0.363692,1.571565
sz.301041,金百泽,2023-10-27,2023-09-30,3.426327,3.050967,1.495839,-0.165989,0.204674,1.257345
sz.301042,安联锐视,2023-10-26,2023-09-30,7.987434,6.964556,5.483005,0.029064,0.111418,1.125389
sz.301043,绿岛风,2023-10-25,2023-09-30,3.205925,2.733054,2.321807,0.258201,0.250487,1.334200
sz.301045,天禄科技,2023-10-25,2023-09-30,3.637612,3.222607,1.464091,0.502807,0.199481,1.249190
sz.301046,能辉科技,2023-10-28,2023-09-30,3.131270,2.846358,1.429408,1.126506,0.502134,2.008574
sz.301047,义翘神州,2023-10-25,2023-09-30,38.876393,38.470968,36.857393,0.129518,0.029676,1.030584
sz.301048,金鹰重工,2023-10-30,2023-09-30,1.662924,1.102364,0.222652,0.121944,0.502864,2.011521
sz.301049,超越科技,2023-10-24,2023-09-30,1.798753,1.635567,0.380603,0.835319,0.348216,1.534251
sz.301050,雷电微力,2023-10-20,2023-09-30,2.285734,1.266964,0.912895,0.673730,0.416672,1.714301
sz.301051,信濠光电,2023-10-25,2023-09-30,1.439689,1.283862,0.403087,0.073427,0.440780,1.788206
sz.301052,果麦文化,2023-10-28,2023-09-30,6.780137,5.710920,4.115119,0.189541,0.158243,1.187991
sz.301053,远信工业,2023-10-24,2023-09-30,1.660666,1.083789,0.457394,0.288041,0.353155,1.545966
sz.301055,张小泉,2023-10-27,2023-09-30,1.590557,0.947639,0.742977,-0.000045,0.284483,1.397591
sz.301056,森赫股份,2023-10-27,2023-09-30,1.924901,1.726182,1.139413,0.265589,0.455494,1.836526
sz.301057,汇隆新材,2023-10-30,2023-09-30,3.994795,2.832570,2.173092,0.060940,0.147506,1.173028
sz.301058,中粮科工,2023-10-27,2023-09-30,1.834098,1.524033,0.729025,0.010351,0.474553,1.903142
sz.301059,金三江,2023-10-27,2023-09-30,2.466883,1.880436,1.030583,-0.203939,0.167937,1.201833
sz.301060,兰卫医学,2023-10-28,2023-09-30,3.195949,2.744237,0.854427,-0.271163,0.305045,1.438943
sz.301061,匠心家居,2023-10-30,2023-09-30,6.920193,6.425569,5.401319,0.277140,0.164016,1.196195
sz.301062,上海艾录,2023-10-30,2023-09-30,1.292175,0.797304,0.272014,0.344493,0.476285,1.909434
sz.301063,海锅股份,2023-10-26,2023-09-30,2.541135,1.932698,0.997593,-0.068252,0.309384,1.447983
sz.301065,本立科技,2023-10-27,2023-09-30,7.853487,6.882248,4.922871,0.015792,0.100586,1.111835
sz.301066,万事利,2023-10-25,2023-09-30,2.921531,2.048753,1.496663,0.409788,0.245062,1.324613
sz.301067,显盈科技,2023-10-27,2023-09-30,1.714471,1.181282,0.496084,0.772067,0.301947,1.432557
sz.301068,大地海洋,2023-10-25,2023-09-30,2.084398,1.989891,0.174574,0.116331,0.380567,1.614379
sz.301069,凯盛新材,2023-10-28,2023-09-30,2.704916,2.493262,0.986787,0.474721,0.168689,1.202920
sz.301070,开勒股份,2023-10-27,2023-09-30,4.461785,4.050390,2.861458,0.182376,0.210501,1.266626
sz.301071,力量钻石,2023-10-25,2023-09-30,5.585836,5.267040,4.735534,0.488082,0.195923,1.243661
sz.301072,中捷精工,2023-10-28,2023-09-30,1.835959,1.314174,0.497067,0.139980,0.259941,1.351244
sz.301073,君亭酒店,2023-10-27,2023-09-30,2.368903,2.342013,1.708084,0.599586,0.601845,2.511583
sz.301075,多瑞医药,2023-10-27,2023-09-30,2.662961,2.543214,1.992925,0.971704,0.237126,1.310833
sz.301076,新瀚新材,2023-10-27,2023-09-30,6.514952,5.703927,4.963065,0.140287,0.098729,1.109544
sz.301077,星华新材,2023-10-28,2023-09-30,1.929887,1.760624,1.590127,0.876231,0.415894,1.712018
sz.301078,孩子王,2023-10-30,2023-09-30,1.585962,1.215666,0.975610,0.337861,0.662199,2.960322
sz.301079,邵阳液压,2023-10-25,2023-09-30,2.081750,1.579915,0.113487,0.450924,0.403873,1.677496
sz.301080,百普赛斯,2023-10-30,2023-09-30,16.622719,15.653610,14.668028,0.340758,0.074536,1.080539
sz.301081,严牌股份,2023-10-27,2023-09-30,1.879169,1.281543,0.450992,0.125153,0.370748,1.589188
sz.301082,久盛电气,2023-10-27,2023-09-30,1.406205,1.241260,0.249983,0.359677,0.640662,2.782892
