code,stock_name,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.301055,张小泉,2024-10-29,2024-09-30,0.442985,0.557015,0.605591,,0.009871,0.294545,0.009871
sz.301056,森赫股份,2024-10-30,2024-09-30,0.630706,0.369294,0.578094,,0.137141,0.931908,0.137141
sz.301057,汇隆新材,2024-10-30,2024-09-30,0.328876,0.671124,0.574429,,-0.042752,-1.059985,-0.042752
sz.301058,中粮科工,2024-10-29,2024-09-30,0.852773,0.147227,0.425367,,-0.201038,-2.356234,-0.201038
sz.301059,金三江,2024-10-25,2024-09-30,0.391722,0.608278,0.747574,33.273242,0.277487,1.999725,0.277487
sz.301060,兰卫医学,2024-10-30,2024-09-30,0.756323,0.243677,0.595293,-12.238785,-0.021420,,-0.021420
sz.301061,匠心家居,2024-10-29,2024-09-30,0.925904,0.074096,0.805699,,0.233822,1.003699,0.233822
sz.301062,上海艾录,2024-10-30,2024-09-30,0.363926,0.636074,0.379319,4.383668,0.243763,4.322644,0.243763
sz.301063,海锅股份,2024-10-25,2024-09-30,0.674953,0.325047,0.610117,,0.038198,1.673132,0.038198
sz.301065,本立科技,2024-10-22,2024-09-30,0.607206,0.392794,0.723338,,0.428336,4.578019,0.428336
sz.301066,万事利,2024-10-29,2024-09-30,0.493025,0.506975,0.564257,,0.037501,0.650568,0.037501
sz.301067,显盈科技,2024-10-30,2024-09-30,0.445755,0.554245,0.534348,3.622038,0.065890,16.171601,0.065890
sz.301068,大地海洋,2024-10-25,2024-09-30,0.605541,0.394459,0.517617,7.673854,-0.059405,-0.864152,-0.059405
sz.301069,凯盛新材,2024-10-26,2024-09-30,0.567414,0.432586,0.602731,4.367968,0.066224,0.886687,0.066224
sz.301070,开勒股份,2024-10-30,2024-09-30,0.577008,0.422992,0.742685,6.423741,-0.096996,-6.461970,-0.096996
sz.301071,力量钻石,2024-10-30,2024-09-30,0.683832,0.316168,0.783034,,0.725893,2.210148,0.725893
sz.301072,中捷精工,2024-10-26,2024-09-30,0.459317,0.540683,0.547431,-31.002223,-0.035375,,-0.035375
sz.301073,君亭酒店,2024-10-30,2024-09-30,0.232935,0.767065,0.161501,1.779184,0.347506,7.540579,0.347506
sz.301075,多瑞医药,2024-10-25,2024-09-30,0.575006,0.424994,0.638128,-36.956184,-0.146378,,-0.146378
sz.301076,新瀚新材,2024-10-28,2024-09-30,0.646132,0.353868,0.868410,,0.370834,2.711444,0.370834
sz.301077,星华新材,2024-10-29,2024-09-30,0.762052,0.237948,0.617074,,0.247491,1.381921,0.247491
sz.301078,孩子王,2024-10-22,2024-09-30,0.544035,0.455965,0.199862,2.474068,0.133672,5.878320,0.133672
sz.301079,邵阳液压,2024-10-29,2024-09-30,0.544884,0.455116,0.444361,11.096823,-0.077423,-1.246173,-0.077423
sz.301080,百普赛斯,2024-10-30,2024-09-30,0.770138,0.229862,0.868972,,0.191388,1.122748,0.191388
sz.301081,严牌股份,2024-10-29,2024-09-30,0.577564,0.422436,0.434876,17.617003,0.246881,3.235256,0.246881
sz.301082,久盛电气,2024-10-30,2024-09-30,0.892311,0.107689,0.307777,1.657905,-0.038014,-2.591597,-0.038014
sz.301083,百胜智能,2024-10-29,2024-09-30,0.708817,0.291183,0.774166,,0.002237,0.024130,0.002237
sz.301085,亚康股份,2024-10-29,2024-09-30,0.898938,0.101062,0.543020,4.758494,0.057301,1.200047,0.057301
sz.301086,鸿富瀚,2024-10-24,2024-09-30,0.531773,0.468227,0.702294,85.421350,0.133239,0.728332,0.133239
