code(股票代码),stock_name(股票名称)
sz.002051,中工国际
sz.002053,云南能投
sz.002061,浙江交科
sz.002063,远光软件
sz.002067,景兴纸业
sz.002075,沙钢股份
sz.002079,苏州固锝
sz.002084,海鸥住工
sz.002088,鲁阳节能
sz.002090,金智科技
sz.002093,国脉科技
sz.002094,青岛金王
sz.002097,山河智能
sz.002098,浔兴股份
sz.002101,广东鸿图
sz.002103,广博股份
sz.002105,信隆健康
sz.002106,莱宝高科
sz.002108,沧州明珠
sz.002111,威海广泰
sz.002117,东港股份
sz.002127,南极电商
sz.002129,TCL中环
sz.002130,沃尔核材
sz.002135,东南网架
sz.002136,安纳达
sz.002138,顺络电子
sz.002139,拓邦股份
sz.002141,*ST贤丰
sz.002145,中核钛白
sz.002150,通润装备
sz.002152,广电运通
sz.002153,石基信息
sz.002155,湖南黄金
sz.002160,常铝股份
sz.002161,远望谷
sz.002171,楚江新材
sz.002174,游族网络
sz.002175,东方智造
sz.002176,江特电机
sz.002179,中航光电
sz.002185,华天科技
sz.002187,广百股份
sz.002188,中天服务
sz.002194,武汉凡谷
sz.002203,海亮股份
sz.002213,大为股份
sz.002214,大立科技
sz.002218,拓日新能
sz.002222,福晶科技
sz.002224,三力士
sz.002226,江南化工
sz.002230,科大讯飞
sz.002231,奥维通信
sz.002235,安妮股份
sz.002242,九阳股份
sz.002243,力合科创
sz.002249,大洋电机
sz.002252,上海莱士
sz.002255,海陆重工
sz.002259,ST升达
sz.002261,拓维信息
sz.002262,恩华药业
sz.002264,新华都
sz.002270,华明装备
sz.002271,东方雨虹
sz.002272,川润股份
sz.002275,桂林三金
sz.002276,万马股份
sz.002279,久其软件
sz.002281,光迅科技
sz.002282,博深股份
sz.002283,天润工业
sz.002289,ST宇顺
sz.002291,遥望科技
sz.002294,信立泰
sz.002296,辉煌科技
sz.002297,博云新材
sz.002298,中电兴发
sz.002301,齐心集团
sz.002303,美盈森
sz.002315,焦点科技
sz.002327,富安娜
sz.002328,新朋股份
sz.002330,得利斯
sz.002331,皖通科技
sz.002333,罗普斯金
sz.002337,赛象科技
sz.002339,积成电子
sz.002342,巨力索具
sz.002343,慈文传媒
sz.002347,泰尔股份
sz.002353,杰瑞股份
sz.002354,天娱数科
sz.002356,赫美集团
sz.002358,森源电气
sz.002361,神剑股份
sz.002362,汉王科技
sz.002364,中恒电气
sz.002366,融发核电
sz.002371,北方华创
sz.002372,伟星新材
sz.002376,新北洋
sz.002379,宏创控股
sz.002380,科远智慧
sz.002382,蓝帆医疗
sz.002389,航天彩虹
sz.002392,北京利尔
sz.002393,力生制药
sz.002394,联发股份
sz.002396,星网锐捷
sz.002400,省广集团
sz.002405,四维图新
sz.002414,高德红外
sz.002421,达实智能
sz.002423,中粮资本
sz.002429,兆驰股份
sz.002430,杭氧股份
sz.002432,九安医疗
sz.002436,兴森科技
sz.002442,龙星科技
sz.002444,巨星科技
sz.002445,中南文化
sz.002446,盛路通信
sz.002448,中原内配
sz.002451,摩恩电气
sz.002452,长高电新
sz.002454,松芝股份
sz.002457,青龙管业
sz.002461,珠江啤酒
sz.002465,海格通信
sz.002469,三维化学
sz.002486,嘉麟杰
sz.002487,大金重工
sz.002489,浙江永强
sz.002492,恒基达鑫
sz.002495,佳隆股份
sz.002498,汉缆股份
sz.002500,山西证券
sz.002507,涪陵榨菜
sz.002515,金字火腿
sz.002516,旷达科技
sz.002517,恺英网络
sz.002521,齐峰新材
sz.002523,天桥起重
sz.002533,金杯电工
sz.002540,亚太科技
sz.002543,万和电气
sz.002546,新联电子
sz.002549,凯美特气
sz.002550,千红制药
sz.002553,南方精工
sz.002555,三七互娱
sz.002557,洽洽食品
sz.002558,巨人网络
sz.002560,通达股份
sz.002563,森马服饰
